,Language,Meaning,Phonological Form,cc,ASJP
75,Czech,split,ˈʃciːpat,split:H,STipat
86,Icelandic,split,ˈkʰljuːva,split:I,klyuva
91,Swedish,split,ˈklỳːva,split:I,kliva
92,Swedish,split,'splitra,split:A,splitra
96,Danish,split,ˈg̥ʰløːvə,split:I,glev3
101,English,split,splɪt,split:A,split
104,Dutch,split,'splɛitə(n),split:A,splEit3n
105,Dutch,split,ˈklivə,split:I,kliv3
112,German,split,'ʃpaltn̩,split:N,Spaltn
122,Portuguese,split,ʀɐˈʃaɾ,split:O,raSar
136,French,split,fɑ̃dʀ,split:E,fodr
143,Italian,split,'fɛndere,split:E,fEndere
144,Italian,split,spak'kare,split:R,spakkare
6,Greek,stab,ˌmaçe̞ˈro̞no,stab:Aj,maSerono
46,Bulgarian,stab,pruˈbɔʒdəm,stab:G,pruboZd3m
47,Bulgarian,stab,pruˈmuʃvəm,stab:Ak,prumuSv3m
49,Russian,stab,za'kaɫɨvatʲ,stab:H,zakaL3vat
50,Polish,stab,dʑgatɕ,stab:Ai,dZgatS
52,Ukrainian,stab,kɔˈɫɔtɪ,stab:H,koLoti
55,Czech,stab,ˈpiːxnɔut,stab:Q,pixnout
56,Czech,stab,ˈbɔdnɔut,stab:G,bodnout
64,Icelandic,stab,ˈstiŋɡ̊a,stab:B,stiNga
69,Swedish,stab,ˈstɪ̀kːa,stab:B,stika
70,Swedish,stab,ˈstɪ̀ŋːa,stab:B,stiNa
77,Danish,stab,ˈsd̥ʰeg̥ʰə,stab:B,sdeg3
84,Dutch,stab,stekə(n),stab:B,stek3n
89,German,stab,ɛɐ̯'ʃtɛçn̩,stab:B,EaStESn
94,Catalan,stab,əpunɲə'la,stab:F,3punN3la
97,Portuguese,stab,ɐpuɲɐˈlaɾ,stab:F,apuNalar
98,Spanish,stab,apuɲa'laɾ,stab:F,apuNalar
104,French,stab,pwaɲaʀde,stab:F,pwaNarde
111,Italian,stab,akkoltel'lare,stab:W,akkoltellare
14,Greek,some,ˌme̞riˈci,some:M,meriTi
46,Bengali,some,"kitʃʰu, kisu",some:L,kitSukisu
64,Bulgarian,some,ˈnʲakuɫku,some:A/L,nakuLku
66,Russian,some,ˈnʲɛskɔlʲkɔ,some:L,nEskolko
67,Polish,some,ˈkʲilka,some:L,kilka
68,Polish,some,ˈtrɔxɛ,some:Q,troxE
71,Ukrainian,some,ˈtrɔxɪ,some:Q,troxi
72,Ukrainian,some,ˈkilʲka,some:L,kilka
74,Czech,some,ˈɲɛkolɪk,some:A/L,NEkolik
85,Icelandic,some,ˈsʏːmʏr,some:S,simir
86,Icelandic,some,ˈnɔʰkːrɪr,some:B,nokrir
94,Swedish,some,ˈnòː(g)ra,some:B,nogra
99,Danish,some,ˈnolə,some:B,nol3
100,Danish,some,ˈsʌmə,some:S,som3
108,English,some,sʌm,some:S,som
110,Dutch,some,'enəχ,some:T,en3G
111,Dutch,some,'sɔməɣə,some:S,som3x3
127,Catalan,some,əl’ɣun,some:L/T,3lxun
128,Portuguese,some,aɫˈɣũʃ,some:L/T,aLxuS
129,Spanish,some,al'ɣunos,some:L/T,alxunos
135,French,some,kɛlk,some:L,kElk
145,Italian,some,al'kuni,some:L/T,alkuni
16,Greek,woman,ʝiˈne̞ka,woman:D,Sineka
67,Hindi,woman,əʊrət̪,woman:M,3ur3t
87,Bulgarian,woman,ʒɘˈna,woman:D,Z3na
89,Russian,woman,'ʐɛnʃina,woman:D,ZEnSina
90,Polish,woman,kɔˈbjɛta,woman:J,kobyEta
92,Ukrainian,woman,ˈʐinka,woman:D,Zinka
94,Czech,woman,ˈʒɛna,woman:D,ZEna
103,Icelandic,woman,ˈkʰɔːna,woman:D,kona
104,Icelandic,woman,ˈkʰvɛnmaːðʏr,woman:D,kvEnma8ir
113,Swedish,woman,ˈkvɪ̀nːa,woman:D,kvina
114,Swedish,woman,dɑ:m,woman:K,dom
119,Danish,woman,ˈg̥ʰvenə,woman:D,gven3
120,Danish,woman,ˈd̥ɛːmə,woman:K,dEm3
126,English,woman,'wʊmən,woman:H,wum3n
128,Dutch,woman,vrɑu,woman:B,vrou
134,German,woman,vaĭp,woman:H,vaip
135,German,woman,fraŭ,woman:B,frau
143,Catalan,woman,ˈdɔnə,woman:K,don3
144,Portuguese,woman,muˈʎɛɾ,woman:E,mulEr
145,Spanish,woman,mu'xeɾ,woman:E,muxer
151,French,woman,fam,woman:G,fam
163,Italian,woman,'dɔnna,woman:K,donna
164,Romanian,woman,muˈjere,woman:E,muyere
165,Romanian,woman,feˈmeje,woman:G,femeye
177,Breton,woman,"ˈmawɛs, ˈmowǝs",woman:F,mawEsmow3s
183,Irish,woman,bʲan̪ˠ,woman:D,ban
9,Greek,knee,ˈɣo̞nato̞,knee:N,xonato
29,Bengali,knee,"ˈɦaʈu, ˈɦãʈu",knee:D,hatuhatu
38,Bulgarian,knee,kuˈlʲanu,knee:B,kulanu
40,Russian,knee,kalʲɛ'nɔ,knee:B,kalEno
41,Polish,knee,kɔˈlanɔ,knee:B,kolano
43,Ukrainian,knee,kɔˈlʲinɔ,knee:B,kolino
45,Czech,knee,ˈkɔlɛnɔ,knee:B,kolEno
51,Lithuanian,knee,ˈkælɪs,knee:B,kElis
53,Icelandic,knee,"kʰnjɛː, n̥jɛː",knee:N,knyEnyE
58,Swedish,knee,knɛ:,knee:N,knE
60,Danish,knee,knɛˀ,knee:N,knE
65,English,knee,ni:,knee:N,ni
66,Dutch,knee,kni,knee:N,kni
69,German,knee,kni:,knee:N,kni
74,Catalan,knee,"ʒə'noʎ, dʒe'noʎ",knee:N,Z3noldZenol
75,Spanish,knee,ro'ðiʎa,knee:C,ro8ila
76,French,knee,ʒənu,knee:N,Z3nu
81,Italian,knee,dʒi'nɔkkjo,knee:N,dZinokkyo
82,Italian,knee,ro'tɛlla,knee:C,rotElla
83,Romanian,knee,dʒeˈnunkʲ,knee:N,dZenunk
88,Breton,knee,ˈgliːn,knee:N,glin
91,Irish,knee,ɡˠɫuːɲ,knee:N,gLuN
13,Greek,mouth,ˈsto̞ma,mouth:J,stoma
46,Bengali,mouth,mukʰ,mouth:M,muk
50,Hindi,mouth,mʊkʰ,mouth:M,muk
64,Bulgarian,mouth,uˈsta,mouth:F,usta
66,Russian,mouth,rɔt,mouth:I,rot
67,Polish,mouth,'usta,mouth:F,usta
69,Ukrainian,mouth,rɔt,mouth:I,rot
71,Czech,mouth,ˈuːsta,mouth:F,usta
77,Lithuanian,mouth,bʊrˈnɐ,mouth:D,burna
79,Icelandic,mouth,ˈmʏnːʏr,mouth:B,minir
84,Swedish,mouth,mɵnː,mouth:B,m3n
88,Danish,mouth,mɔnˀ,mouth:B,mon
92,English,mouth,maʊθ,mouth:B,mau8
94,Dutch,mouth,mɔnt,mouth:B,mont
99,German,mouth,mʊnt,mouth:B,munt
105,Catalan,mouth,ˈbokə,mouth:G,bok3
106,Portuguese,mouth,ˈbokɐ,mouth:G,boka
107,Spanish,mouth,'boka,mouth:G,boka
113,French,mouth,buʃ,mouth:G,buS
119,Italian,mouth,'bokka,mouth:G,bokka
132,Breton,mouth,"ˈgeːnu, ˈgeːnow",mouth:H,genugenow
135,Irish,mouth,bʲeːl̪ˠ,mouth:K,bel
13,Greek,squeeze,zuˈlo̞,squeeze:Au,zulo
55,Bulgarian,squeeze,ˈstiskəm,squeeze:G,stisk3m
57,Russian,squeeze,sʐɨ'matʲ,squeeze:Q,sZ3mat
58,Polish,squeeze,ˈgɲɛɕtɕ,squeeze:H,gNEStS
59,Polish,squeeze,ˈtɕisnɔɲtɕ,squeeze:G,tSisnoNtS
61,Ukrainian,squeeze,ˈtɪsnutɪ,squeeze:G,tisnuti
62,Ukrainian,squeeze,ɦnʲiˈtɪtɪ,squeeze:H,hnititi
63,Ukrainian,squeeze,daˈvɪtɪ,squeeze:Av,daviti
65,Czech,squeeze,ˈmatʃkat,squeeze:At,matSkat
73,Icelandic,squeeze,ˈkʰreista,squeeze:J,kreista
83,Swedish,squeeze,ˈklɛ̀mːa,squeeze:T,klEma
84,Swedish,squeeze,ˈkrɑ̀:ma,squeeze:Al,kroma
85,Swedish,squeeze,ˈprɛ̀sːa,squeeze:A,prEsa
89,Danish,squeeze,ˈɡ̊ʰlɛmə,squeeze:T,glEm3
90,Danish,squeeze,ˈd̥ʰʁœg̥ʰə,squeeze:I,dGEg3
91,Danish,squeeze,ˈb̥ʰʁasə,squeeze:A,bGas3
100,Dutch,squeeze,ˈknɛipə,squeeze:Ak,knEip3
101,Dutch,squeeze,'pɛrsə(n),squeeze:A,pErs3n
105,German,squeeze,'drʏkn̩,squeeze:I,drikn
111,Catalan,squeeze,kumpɾi'mi,squeeze:A,kumprimi
112,Catalan,squeeze,ə'stɾɛɲə,squeeze:Y,3strEN3
114,Portuguese,squeeze,ɐpɨɾˈtaɾ,squeeze:E,ap3rtar
117,Spanish,squeeze,apɾe'taɾ,squeeze:E,apretar
125,French,squeeze,sɛʀe,squeeze:L,sEre
133,Italian,squeeze,'prɛmere,squeeze:A,prEmere
11,Greek,horn,ˈce̞raˌto̞,horn:A,Terato
34,Hindi,horn,sĩːɡ,horn:A,sig
46,Bulgarian,horn,rɔɡ,horn:B,rog
48,Russian,horn,'rɔg,horn:B,rog
49,Polish,horn,ruɡ,horn:B,rug
51,Ukrainian,horn,rʲiɦ,horn:B,rih
53,Czech,horn,rɔɦ,horn:B,roh
61,Icelandic,horn,hɔrd̥n,horn:A,hordn
66,Swedish,horn,hu:ɳ,horn:A,hun
68,Danish,horn,hoɐ̯ˀn,horn:A,hoan
74,Dutch,horn,horn,horn:A,horn
76,German,horn,hɔrn,horn:A,horn
82,Spanish,horn,'kweɾno,horn:A,kwerno
83,French,horn,kɔʀn,horn:A,korn
87,Italian,horn,'kɔrno,horn:A,korno
88,Romanian,horn,korn,horn:A,korn
98,Breton,horn,ˈkɔrn,horn:A,korn
101,Irish,horn,ɤ.əɾk,horn:C,o3rk
102,Irish,horn,koːɾˠn̪ˠ,horn:A,korn
13,Greek,wife,ˈsiziˌɣo̞s,wife:Ap,sizixos
14,Greek,wife,ʝiˈne̞ka,wife:Z,Sineka
73,Bulgarian,wife,ʒɘˈna,wife:Z,Z3na
75,Russian,wife,ʐɛ'na,wife:Z,ZEna
76,Polish,wife,ˈʐɔna,wife:Z,Zona
78,Ukrainian,wife,druˈʐɪna,wife:Aq,druZina
80,Czech,wife,ˈmanʒɛlka,wife:Z,manZElka
90,Icelandic,wife,ˈeiːjɪn.kʰɔːna,wife:Z,eiyinkona
101,Swedish,wife,frʉː,wife:S,fr3
102,Swedish,wife,ˈmɑ̀:ka,wife:Ac,moka
103,Swedish,wife,ˈhɵ̀sːtrɵ,wife:S/T,h3str3
107,Danish,wife,ˈhusd̥ʰʁu,wife:S/T,husdGu
108,Danish,wife,ˈg̥ʰo:nə,wife:Z,gon3
117,English,wife,waɪf,wife:F,waif
119,Dutch,wife,ˈɛχtɣənotə,wife:A,EGtx3not3
120,Dutch,wife,'hœysfrɑu,wife:S/T,hEisfrou
121,Dutch,wife,vrɑu,wife:S,vrou
132,German,wife,'gatɪn,wife:U,gatin
133,German,wife,fraŭ,wife:S,frau
139,Catalan,wife,'dɔnə,wife:X,don3
140,Catalan,wife,mu'ʎe,wife:D,mule
141,Portuguese,wife,muˈʎɛɾ,wife:D,mulEr
142,Portuguese,wife,ɨʃˈpozɐ,wife:V,3Spoza
143,Spanish,wife,mu'xeɾ,wife:D,muxer
144,Spanish,wife,es'posa,wife:V,esposa
150,French,wife,epuz,wife:V,epuz
151,French,wife,fam,wife:W,fam
158,Italian,wife,'moʎʎe,wife:D,molle
159,Italian,wife,'spoza,wife:V,spoza
168,Breton,wife,gwreːg-k,wife:E,gwregk
11,Greek,sea,ˈθalaˌsa,sea:F,8alasa
57,Bulgarian,sea,muˈrɛ,sea:B,murE
59,Russian,sea,'mɔrʲɛ,sea:B,morE
60,Polish,sea,ˈmɔʐɛ,sea:B,moZE
62,Ukrainian,sea,ˈmɔrɛ,sea:B,morE
64,Czech,sea,ˈmɔr̝ɛ,sea:B,morE
70,Lithuanian,sea,ˈju:rɐ,sea:H,yura
73,Icelandic,sea,haːv,sea:K,hav
74,Icelandic,sea,sjouːr,sea:J,syour
83,Swedish,sea,hɑːv,sea:K,hov
84,Swedish,sea,ɧøː,sea:J,Se
89,Danish,sea,hɑw,sea:K,how
90,Danish,sea,søˀ,sea:J,se
96,English,sea,si:,sea:J,si
98,Dutch,sea,ze,sea:J,ze
105,German,sea,ze:,sea:J,ze
106,German,sea,'o:t͜sea:n,sea:E,otsean
107,German,sea,me:ɐ̯,sea:B,mea
113,Catalan,sea,"mar, maɾ; ma",sea:B,marmarma
114,Portuguese,sea,maɾ,sea:B,mar
115,Spanish,sea,maɾ,sea:B,mar
121,French,sea,mɛʀ,sea:B,mEr
127,Italian,sea,'mare,sea:B,mare
128,Romanian,sea,ˈmare,sea:B,mare
138,Irish,sea,ˈfˠæɾˠɟɪ,sea:G,fErCi
13,Greek,rope,sçiˈni,rope:L,sSini
53,Hindi,rope,ɖori,rope:F,dori
67,Bulgarian,rope,vəˈʒɛ,rope:M,v3ZE
69,Russian,rope,vʲi'rʲɔvka,rope:I,virovka
70,Polish,rope,ʂnur,rope:U,Snur
71,Polish,rope,ˈlina,rope:V,lina
73,Ukrainian,rope,ˈmɔtuz,rope:J,motuz
75,Czech,rope,ˈprɔvaz,rope:M,provaz
87,Icelandic,rope,ˈstrɛŋɡ̊ʏr,rope:Z,strENgir
88,Icelandic,rope,tʰøɪːɣ,rope:B,teix
89,Icelandic,rope,ˈreiːpʰɪ,rope:K,reipi
100,Swedish,rope,re:p,rope:K,rep
101,Swedish,rope,toːɡ,rope:B,tog
102,Swedish,rope,ˈlì:na,rope:V,lina
107,Danish,rope,ʁɛˀb̥,rope:K,GEb
108,Danish,rope,tɒw,rope:B,tow
117,English,rope,rəʊp,rope:K,r3up
119,Dutch,rope,tɑu,rope:B,tou
120,Dutch,rope,kort,rope:G,kort
127,German,rope,zaĭl,rope:X,zail
134,Catalan,rope,'kɔɾðə,rope:G,kor83
135,Catalan,rope,'kuɾðiʎ,rope:G,kur8il
136,Portuguese,rope,ˈkɔɾðɐ,rope:G,kor8a
137,Spanish,rope,'kweɾða,rope:G,kwer8a
143,French,rope,kɔʀd,rope:G,kord
149,Italian,rope,'kɔrda,rope:G,korda
159,Breton,rope,ˈkɔrdɛn,rope:Ab/G,kordEn
161,Irish,rope,"tʲiad̪ˠ, tʲeːd̪ˠ",rope:N,tiadted
14,Greek,animal,ˈzo̞ˌo̞,animal:G,zoo
54,Hindi,animal,ˈdʒanʋər,animal:D,dZanw3r
68,Bulgarian,animal,ʒiˈvɔtnu,animal:G,Zivotnu
70,Russian,animal,ʐɨ'vɔtnɔjɛ,animal:G,Z3votnoyE
71,Polish,animal,ˈzvjɛʐɛ(ɰ̃),animal:H,zvyEZEw
73,Ukrainian,animal,tʋaˈrɪna,animal:T,twarina
75,Czech,animal,ˈzviːr̝ɛ,animal:H,zvirE
87,Icelandic,animal,d̥iːr,animal:A,dir
93,Swedish,animal,jʉːr,animal:A,y3r
98,Danish,animal,ˈd̥yɐ̯ˀ,animal:A,dia
102,English,animal,'ænɪməl,animal:F,Enim3l
105,Dutch,animal,dir,animal:A,dir
110,German,animal,ti:ɐ̯,animal:A,tia
117,Catalan,animal,əni’mal,animal:F,3nimal
118,Portuguese,animal,ɐniˈmaɫ,animal:F,animaL
119,Spanish,animal,ani'mal,animal:F,animal
124,French,animal,animal,animal:F,animal
131,Italian,animal,ani'male,animal:F,animale
138,Breton,animal,"ˈlwẽːn, ˈlɔ̃ːn",animal:M,lwenlon
139,Breton,animal,ãˈneːval,animal:F/Q,aneval
12,Greek,green,ˈprasiˌno̞s,green:H,prasinos
61,Bulgarian,green,zɘˈlɛn,green:A,z3lEn
63,Russian,green,zʲɛ'lʲɔnɨj,green:A,zElon3y
64,Polish,green,ʑɛˈlɔnɘ̟,green:A,ZElon3
66,Ukrainian,green,zɛˈɫɛnɪj,green:A,zELEniy
68,Czech,green,ˈzɛlɛniː,green:A,zElEni
76,Icelandic,green,ˈɡ̊raid̥n,green:B,graidn
81,Swedish,green,grøːn,green:B,gren
85,Danish,green,g̥ʁɶ̝nˀ,green:B,gGEn
89,English,green,gri:n,green:B,grin
91,Dutch,green,ɣrun,green:B,xrun
96,German,green,gry:n,green:B,grin
101,Catalan,green,bert,green:G,bert
102,Portuguese,green,ˈveɾdɨ,green:G,verd3
103,Spanish,green,'beɾðe,green:G,ber8e
109,French,green,vɛʀ,green:G,vEr
115,Italian,green,'verde,green:G,verde
116,Romanian,green,ˈverde,green:G,verde
125,Breton,green,ˈglaːs,green:A,glas
127,Welsh,green,ɡwɨrð,green:G/X,gw3r8
129,Irish,green,ˈuənʲə,green:K,u3n3
130,Irish,green,ɡl̪ˠasˠ,green:A,glas
13,Greek,sun,ˈiʎo̞s,sun:W,ilos
55,Hindi,sun,su:ɾədʒ,sun:W,sur3dZ
67,Bulgarian,sun,ˈsɫɤntsɘ,sun:W,sLonts3
69,Russian,sun,'sɔntsɛ,sun:W,sontsE
70,Polish,sun,ˈswɔɲtsɛ,sun:W,swoNtsE
72,Ukrainian,sun,ˈsɔntsɛ,sun:W,sontsE
74,Czech,sun,ˈsluntsɛ,sun:W,sluntsE
80,Lithuanian,sun,sɑule:,sun:W,soule
83,Icelandic,sun,souːl,sun:W,soul
88,Swedish,sun,suːl,sun:W,sul
92,Danish,sun,sol,sun:W,sol
97,English,sun,sʌn,sun:W,son
99,Dutch,sun,zɔn,sun:W,zon
104,German,sun,'zɔnə,sun:W,zon3
111,Catalan,sun,sɔɫ,sun:W,soL
112,Portuguese,sun,sɔl,sun:W,sol
113,Spanish,sun,sol,sun:W,sol
119,French,sun,sɔlɛj,sun:W,solEy
125,Italian,sun,'sole,sun:W,sole
126,Romanian,sun,ˈsware,sun:W,sware
136,Welsh,sun,haɨl,sun:W,ha3l
11,Greek,sing,ˌtraɣuˈðo̞,sing:H,traxu8o
42,Hindi,sing,ɡa:na,sing:F,gana
54,Bulgarian,sing,ˈpɛjə,sing:G,pEy3
56,Russian,sing,pʲɛtʲ,sing:G,pEt
57,Polish,sing,ˈɕpjɛvatɕ,sing:G,SpyEvatS
59,Ukrainian,sing,spiˈʋatɪ,sing:G,spiwati
61,Czech,sing,ˈspiːvat,sing:G,spivat
67,Lithuanian,sing,dɐjˈnuɔtʲɪ,sing:I,daynuoti
70,Icelandic,sing,ˈsɪɲca,sing:B,siNTa
77,Swedish,sing,ˈɧɵ̀ŋːa,sing:B,S3Na
81,Danish,sing,ˈsøŋə,sing:B,seN3
86,English,sing,sɪŋ,sing:B,siN
88,Dutch,sing,'zɪŋə(n),sing:B,ziN3n
93,German,sing,'zɪŋən,sing:B,ziN3n
102,Portuguese,sing,kɐ̃ˈtaɾ,sing:D,katar
103,Spanish,sing,kan'taɾ,sing:D,kantar
109,French,sing,ʃɑ̃te,sing:D,Sote
115,Italian,sing,kan'tare,sing:D,kantare
116,Romanian,sing,a kɨnˈta,sing:D,ak3nta
122,Welsh,sing,kænɪi,sing:D,kEnii
123,Irish,sing,kan̪ˠ,sing:D,kan
14,Greek,day,ˈme̞ra,day:F,mera
46,Breton,day,"ˈdɛj(s), ˈdeː",day:C,dEysde
47,Welsh,day,"dɨːð, diːð",day:C,d38di8
48,Irish,day,l̪ˠaː,day:G,la
15,Greek,kill,sko̞ˈto̞no̞,kill:L,skotono
51,Hindi,kill,marna,kill:F,marna
66,Bulgarian,kill,uˈbivəm,kill:I,ubiv3m
68,Russian,kill,ubʲi'vatʲ,kill:I,ubivat
69,Polish,kill,ˈzabitɕ,kill:I,zabitS
71,Ukrainian,kill,ubɪtɪ,kill:I,ubiti
73,Czech,kill,ˈzabiːjɛt,kill:I,zabiyEt
83,Icelandic,kill,ˈd̥eiːða,kill:T,dei8a
84,Icelandic,kill,ˈd̥rɛːpʰa,kill:B,drEpa
91,Swedish,kill,ˈdrɛ̀:pa,kill:B,drEpa
92,Swedish,kill,ˈdø̀ːda,kill:T,deda
98,Danish,kill,ˈd̥øːðə,kill:T,de83
99,Danish,kill,ˈdʁɛ:b̥ə,kill:B,dGEb3
104,English,kill,kɪl,kill:J,kil
107,Dutch,kill,'slɑχtə(n),kill:S,sloGt3n
108,Dutch,kill,'dodə(n),kill:T,dod3n
114,German,kill,'tø:tn̩,kill:T,tetn
123,Catalan,kill,mə'ta,kill:G,m3ta
124,Portuguese,kill,mɐˈtaɾ,kill:G,matar
125,Spanish,kill,ma'taɾ,kill:G,matar
131,French,kill,tɥe,kill:K,tye
143,Italian,kill,ammat'tsare,kill:P,ammattsare
144,Italian,kill,ut'tʃidere,kill:O,uttSidere
145,Romanian,kill,a omoˈrɨ,kill:F,aomor3
146,Romanian,kill,a uˈtʃide,kill:O,autSide
154,Breton,kill,ˈlaːzã,kill:H,laza
11,Greek,there,e̞ˈci,there:E/M,eTi
56,Bulgarian,there,tam,there:B,tam
58,Russian,there,tam,there:B,tam
59,Polish,there,tam,there:B,tam
61,Ukrainian,there,tam,there:B,tam
63,Czech,there,tam,there:B,tam
71,Icelandic,there,θaːr,there:B,8ar
76,Swedish,there,dæːr,there:B,dEr
80,Danish,there,dɛɐ̯,there:B,dEa
85,English,there,ðɛə,there:B,8E3
87,Dutch,there,"dar, ɑl'dar",there:B,daroldar
92,German,there,dɔrt,there:B,dort
104,Catalan,there,ə’ki,there:C,3ki
106,Portuguese,there,ɐˈi,there:C,ai
108,Spanish,there,a'i,there:C,ai
114,French,there,la,there:C,la
119,Italian,there,"la, ko'la, li",there:C,lakolali
120,Romanian,there,aˈkolo,there:C,akolo
127,Irish,there,ənˈʃinʲ,there:F,3nSin
20,Greek,mother,miˈte̞ra,mother:A,mitera
70,Bulgarian,mother,ˈmajkə,mother:A,mayk3
72,Russian,mother,matʲ,mother:A,mat
73,Polish,mother,ˈmatka,mother:A,matka
75,Ukrainian,mother,ˈmatɪ,mother:A,mati
77,Czech,mother,ˈmatka,mother:A,matka
85,Icelandic,mother,ˈmouːðɪr,mother:A,mou8ir
90,Swedish,mother,muːr,mother:A,mur
91,Swedish,mother,"ˈmù:dər, muːr",mother:A,mud3rmur
95,Danish,mother,moɐ̯,mother:A,moa
100,English,mother,'mʌðə,mother:A,mo83
102,Dutch,mother,'mudər,mother:A,mud3r
108,German,mother,'mʊtɐ,mother:A,muta
117,Catalan,mother,'maɾə,mother:A,mar3
118,Portuguese,mother,mɐ̃i,mother:A,mai
119,Spanish,mother,'maðɾe,mother:A,ma8re
125,French,mother,mɛʀ,mother:A,mEr
131,Italian,mother,'madre,mother:A,madre
138,Breton,mother,"ˈmamː, mɑ̃mː",mother:E,mammom
139,Welsh,mother,mam,mother:E,mam
12,Greek,blow,fiˈsao̞,blow:C,fisao
57,Bulgarian,blow,ˈduxəm,blow:L,dux3m
59,Russian,blow,dutʲ,blow:F,dut
60,Polish,blow,ˈdmuxatɕ,blow:F,dmuxatS
62,Ukrainian,blow,dutɪ,blow:F,duti
64,Czech,blow,ˈfɔukat,blow:C,foukat
71,Icelandic,blow,ˈb̥lausa,blow:A,blausa
76,Swedish,blow,ˈblò:sa,blow:A,blosa
80,Danish,blow,ˈb̥lɛːsə,blow:A,blEs3
84,English,blow,bləʊ,blow:A,bl3u
86,Dutch,blow,'wayə(n),blow:H,wai3n
87,Dutch,blow,'blazə(n),blow:A,blaz3n
93,German,blow,'ve:ən,blow:H,ve3n
99,Catalan,blow,bu'fa,blow:A,bufa
100,Portuguese,blow,suˈpɾaɾ,blow:A,suprar
101,Spanish,blow,so'plaɾ,blow:A,soplar
109,French,blow,sufle,blow:A,sufle
118,Italian,blow,sof'fjare,blow:A,soffyare
125,Breton,blow,ˈxweːzã,blow:D,xweza
7,Greek,straight,ˈisço̞s,straight:K,isSos
50,Bulgarian,straight,praf,straight:F,praf
52,Russian,straight,prʲa'mɔj,straight:H,pramoy
53,Polish,straight,ˈprɔstɘ̟,straight:G,prost3
56,Ukrainian,straight,prʲaˈmɪj,straight:H,pramiy
58,Czech,straight,ˈrɔvniː,straight:I,rovni
67,Icelandic,straight,b̥eid̥n,straight:O,beidn
68,Icelandic,straight,ˈrjɛʰtːʏr,straight:M,ryEtir
77,Swedish,straight,rɛ:t,straight:M,rEt
78,Swedish,straight,rɑ:k,straight:M,rok
83,Danish,straight,ˈli:ə,straight:R,li3
91,Dutch,straight,rɛχt,straight:M,rEGt
95,German,straight,gə'ra:də,straight:J,g3rad3
101,Catalan,straight,dɾɛt,straight:M,drEt
102,Catalan,straight,'rɛktə,straight:M,rEkt3
103,Portuguese,straight,diˈɾɐjtu,straight:M,diraytu
104,Spanish,straight,'rekto,straight:M,rekto
111,French,straight,dʀwɑ,straight:M,drwo
117,Italian,straight,di'ritto,straight:M,diritto
118,Romanian,straight,drept,straight:M,drept
125,Irish,straight,ˈdʲiːɾʲəx,straight:M,dir3x
17,Greek,give,ˈðino̞,give:B,8ino
50,Hindi,give,d̪ena,give:B,dena
62,Bulgarian,give,ˈdavəm,give:B,dav3m
64,Russian,give,da'vatʲ,give:B,davat
65,Polish,give,ˈdavatɕ,give:B,davatS
67,Ukrainian,give,daˈvatɪ,give:B,davati
69,Czech,give,daːvat,give:B,davat
75,Lithuanian,give,ˈduɔtʲɪ,give:B,duoti
77,Icelandic,give,ˈcɛːva,give:A,TEva
82,Swedish,give,je:,give:A,ye
86,Danish,give,g̥i,give:A,gi
91,English,give,gɪv,give:A,giv
93,Dutch,give,'ɣevə(n),give:A,xev3n
98,German,give,'ge:bn̩,give:A,gebn
107,Catalan,give,du'na,give:B,duna
108,Portuguese,give,daɾ,give:B,dar
109,Spanish,give,daɾ,give:B,dar
115,French,give,dɔne,give:B,done
121,Italian,give,'dare,give:B,dare
122,Romanian,give,a da,give:B,ada
135,Irish,give,"ˈt̪ˠauɾʲ, ˈt̪ˠoːɾʲ, ˈt̪ˠuːɾʲ",give:E,taurtortur
9,Greek,fog,kataxˈɲa,fog:O,kataxNa
10,Greek,fog,o̞ˈmixli,fog:A,omixli
59,Bulgarian,fog,məˈɡla,fog:A,m3gla
61,Russian,fog,tu'man,fog:K,tuman
62,Polish,fog,mɡwa,fog:A,mgwa
64,Ukrainian,fog,tuˈman,fog:K,tuman
66,Czech,fog,ˈml̩ɦa,fog:A,mlha
75,Icelandic,fog,ˈθɔːka,fog:D,8oka
83,Swedish,fog,ˈɕɔ̀kːa,fog:D,Soka
84,Swedish,fog,ˈdɪ̀mːa,fog:L,dima
89,Danish,fog,d̥ʰɔ:wə,fog:D,dow3
96,Dutch,fog,mɪst,fog:A,mist
97,Dutch,fog,'nevəl,fog:I,nev3l
104,German,fog,'ne:bl̩,fog:I,nebl
111,Catalan,fog,'bromə,fog:C,brom3
112,Portuguese,fog,nɨvuˈejɾu,fog:I,n3vueyru
113,Spanish,fog,'njeβla,fog:I,nyebla
118,French,fog,bʀujaʀ,fog:E,bruyar
125,Italian,fog,'nebbja,fog:I,nebbya
126,Romanian,fog,ˈʧe̯a.ʦə,fog:Q,Ceac3
137,Breton,fog,"ˈbrymːɛn, ˈbrymɛn",fog:Ae/C,brimEnbrimEn
139,Irish,fog,co:,fog:H,To
16,Greek,say,ˈleo̞,say:I,leo
59,Hindi,say,kəhna,say:J,k3hna
77,Bulgarian,say,ˈkazvəm,say:W,kazv3m
79,Russian,say,ska'zatʲ,say:W,skazat
80,Polish,say,pɔˈvjɛdʑɛtɕ,say:U,povyEdZEtS
82,Ukrainian,say,skaˈzatɪ,say:W,skazati
84,Czech,say,r̝iːtst,say:H,ritst
93,Lithuanian,say,sɐˈkʲi:tʲɪ,say:B,sakiti
97,Icelandic,say,ˈseiːja,say:B,seiya
